match,group,date_utc,location,home,away,xg_home,xg_away,p_home,p_draw,p_away,score_pred,top_scores,played,real,ajustada
1,Group A,2026-06-11 19:00:00+00:00,Mexico City Stadium,Mexico,South Africa,1.71,0.63,0.6285,0.2431,0.1284,1-0,1-0 (16.0%); 2-0 (14.1%); 1-1 (10.9%),True,2-0,False
2,Group A,2026-06-12 02:00:00+00:00,Guadalajara Stadium,South Korea,Czech Republic,1.28,1.22,0.374,0.2836,0.3424,1-1,1-1 (13.5%); 1-0 (9.9%); 0-1 (9.4%),True,2-1,False
3,Group B,2026-06-12 19:00:00+00:00,Toronto Stadium,Canada,Bosnia and Herzegovina,1.7,0.76,0.5899,0.2494,0.1607,1-0,1-0 (13.9%); 2-0 (12.3%); 1-1 (11.6%),True,1-1,False
4,Group D,2026-06-13 01:00:00+00:00,Los Angeles Stadium,United States,Paraguay,1.27,1.09,0.3481,0.3168,0.3351,1-1,1-1 (14.2%); 0-0 (13.4%); 1-0 (12.6%),True,4-1,True
5,Group C,2026-06-14 01:00:00+00:00,Boston Stadium,Haiti,Scotland,0.74,2.39,0.0925,0.1702,0.7372,0-2,0-2 (12.5%); 0-1 (10.1%); 0-3 (10.0%),False,,True
6,Group D,2026-06-14 04:00:00+00:00,BC Place Vancouver,Australia,Turkey,1.19,1.2,0.3507,0.2913,0.358,1-1,1-1 (13.8%); 0-1 (10.4%); 1-0 (10.2%),False,,False
7,Group C,2026-06-13 22:00:00+00:00,New York/New Jersey Stadium,Brazil,Morocco,0.98,0.81,0.4099,0.3366,0.2535,0-0,0-0 (17.4%); 1-0 (15.7%); 1-1 (13.9%),False,,True
8,Group B,2026-06-13 19:00:00+00:00,San Francisco Bay Area Stadium,Qatar,Switzerland,0.67,2.95,0.0545,0.1193,0.8262,0-2,0-2 (11.7%); 0-3 (11.5%); 0-4 (8.5%),False,,False
9,Group E,2026-06-14 23:00:00+00:00,Philadelphia Stadium,Ivory Coast,Ecuador,0.48,0.88,0.186,0.387,0.427,0-0,0-0 (26.1%); 0-1 (22.0%); 1-0 (11.7%),False,,False
10,Group E,2026-06-14 17:00:00+00:00,Houston Stadium,Germany,Curaçao,3.88,0.45,0.9328,0.0522,0.015,3-0,3-0 (12.8%); 4-0 (12.4%); 2-0 (9.9%),False,,False
11,Group F,2026-06-14 20:00:00+00:00,Dallas Stadium,Netherlands,Japan,1.31,1.1,0.407,0.2877,0.3053,1-1,1-1 (13.6%); 1-0 (11.1%); 0-0 (9.7%),False,,False
12,Group F,2026-06-15 02:00:00+00:00,Monterrey Stadium,Sweden,Tunisia,1.27,1.0,0.4192,0.2958,0.285,1-1,1-1 (13.8%); 1-0 (12.4%); 0-0 (11.0%),False,,False
13,Group H,2026-06-15 22:00:00+00:00,Miami Stadium,Saudi Arabia,Uruguay,0.42,1.4,0.1063,0.2835,0.6102,0-1,0-1 (22.3%); 0-0 (16.8%); 0-2 (15.9%),False,,False
14,Group H,2026-06-15 16:00:00+00:00,Atlanta Stadium,Spain,Cape Verde,3.1,0.41,0.8879,0.0872,0.0249,3-0,3-0 (14.9%); 2-0 (14.4%); 4-0 (11.5%),False,,False
15,Group G,2026-06-16 01:00:00+00:00,Los Angeles Stadium,Iran,New Zealand,1.48,0.55,0.5931,0.2743,0.1326,1-0,1-0 (18.9%); 2-0 (14.4%); 0-0 (13.7%),False,,False
16,Group G,2026-06-15 19:00:00+00:00,Seattle Stadium,Belgium,Egypt,1.53,0.68,0.5684,0.2702,0.1614,1-0,1-0 (16.2%); 2-0 (12.8%); 1-1 (12.0%),False,,False
17,Group I,2026-06-16 19:00:00+00:00,New York/New Jersey Stadium,France,Senegal,1.47,0.77,0.5322,0.2781,0.1897,1-0,1-0 (15.1%); 1-1 (12.6%); 2-0 (11.6%),False,,False
18,Group I,2026-06-16 22:00:00+00:00,Boston Stadium,Iraq,Norway,0.59,2.06,0.092,0.1973,0.7107,0-2,0-2 (15.0%); 0-1 (14.1%); 0-3 (10.3%),False,,False
19,Group J,2026-06-17 01:00:00+00:00,Kansas City Stadium,Argentina,Algeria,1.68,0.55,0.6447,0.243,0.1123,1-0,1-0 (17.6%); 2-0 (15.2%); 0-0 (11.3%),False,,False
20,Group J,2026-06-17 04:00:00+00:00,San Francisco Bay Area Stadium,Austria,Jordan,1.84,0.81,0.6086,0.2347,0.1567,1-0,1-0 (12.5%); 2-0 (11.9%); 1-1 (11.1%),False,,False
21,Group L,2026-06-17 23:00:00+00:00,Toronto Stadium,Ghana,Panama,1.21,1.09,0.3797,0.2969,0.3235,1-1,1-1 (13.9%); 1-0 (11.4%); 0-0 (10.7%),False,,False
22,Group L,2026-06-17 20:00:00+00:00,Dallas Stadium,England,Croatia,1.38,0.74,0.514,0.2902,0.1958,1-0,1-0 (15.9%); 1-1 (12.9%); 0-0 (12.6%),False,,False
23,Group K,2026-06-17 17:00:00+00:00,Houston Stadium,Portugal,DR Congo,1.67,0.51,0.653,0.2422,0.1048,1-0,1-0 (18.3%); 2-0 (15.8%); 0-0 (11.7%),False,,False
24,Group K,2026-06-18 02:00:00+00:00,Mexico City Stadium,Uzbekistan,Colombia,0.59,1.53,0.137,0.2677,0.5953,0-1,0-1 (17.9%); 0-2 (14.1%); 0-0 (12.6%),False,,False
25,Group A,2026-06-18 16:00:00+00:00,Atlanta Stadium,Czech Republic,South Africa,1.48,0.88,0.5063,0.2767,0.217,1-0,1-0 (13.4%); 1-1 (12.9%); 2-0 (10.4%),False,,False
26,Group B,2026-06-18 19:00:00+00:00,Los Angeles Stadium,Switzerland,Bosnia and Herzegovina,2.04,0.67,0.6885,0.2043,0.1072,2-0,2-0 (13.9%); 1-0 (13.2%); 1-1 (9.5%),False,,False
